Metal (use 2 rows to separate types),Metal MP-ID,Oxide MP-ID,comments,Atomic Structure,Oxide_presence (0/+1=no/yes),Metal ions present in oxide unit cell,Oxygens present in oxide unit cell,E_barrier_inter (eV),E_barrier_vacancy (eV),E_metal (eV),E_ox_vacancy (eV),E_ox_formation (eV),E_dissolve (eV),E_NbOxide (eV),E_(M->Nb) (eV)
Nb,mp-75,mp-1595,-,bcc,NaN,2.00,5.00,0.64,1.30,-3.50,5.89,-3.02,2.39,-2.39,0.00
Ta,mp-50,mp-1539317,-,bcc,0.00,2.00,5.00,0.68,1.38,-3.51,5.58,-3.08,2.07,-2.38,0.01
Mo,mp-129,mp-18856,-,bcc,0.00,1.00,3.00,0.82,1.22,-0.33,3.86,-1.92,3.53,-5.56,-3.17
W,mp-91,mp-2383161,-,bcc,0.00,1.00,3.00,0.66,1.13,0.61,2.54,-2.19,3.15,-6.50,-4.11
Al,mp-134,mp-1143,-,fcc,0.00,2.00,3.00,0.90,NaN,-3.92,7.28,-3.42,3.36,-1.97,0.42
Au,mp-81,mp-353,-,fcc,1.00,1.00,2.00,0.51,0.67,1.69,0.38,-0.31,2.07,-7.58,-5.19
Pd,mp-2,mp-1336,-,fcc,1.00,1.00,1.00,0.57,0.77,0.10,2.42,-0.62,2.52,-5.99,-3.60
Pt,mp-126,mp-1285,-,fcc,1.00,1.00,2.00,1.48,1.95,2.38,2.82,-0.63,5.20,-8.27,-5.88
Zr,mp-131,mp-1565,cubic zirconia was used for the oxide,hcp,0.00,1.00,2.00,2.50,NaN,-6.06,6.25,-3.73,0.19,0.17,2.56
Ti-W,mp-1216621,mp-1041750,incorrect oxide used,sc*,NaN,2.00,4.00,NaN,NaN,-3.84,3.53,-2.39,-0.31,-2.05,0.34
Ti-W3,mp-1017983,mp-1041750,structure of TiMo3 was used,bcc*,0.00,2.00,4.00,NaN,NaN,-2.51,3.53,-2.39,1.02,-3.38,-0.99
Be,mp-87,mp-2542,-,hcp,NaN,1.00,1.00,NaN,NaN,-1.85,7.90,-3.10,6.05,-4.04,-1.65
Hf,mp-103,mp-352,-,hcp,0.00,1.00,2.00,4.36,NaN,-6.02,6.95,-3.91,0.93,0.13,2.52
V,-,mp-21579,-,bcc,NaN,1.00,2.00,NaN,NaN,-3.58,3.83,-2.52,0.25,-2.31,0.08
Cr,-,mp-19177,-,bcc,NaN,1.00,2.00,NaN,NaN,-0.61,3.11,-2.04,2.50,-5.28,-2.89
Ir,-,mp-2723,-,fcc,1.00,1.00,2.00,NaN,NaN,5.50,3.25,-1.26,8.75,-11.39,-9.00
Co,-,mp-18748,-,hcp,NaN,1.00,1.00,NaN,NaN,0.65,2.97,-1.27,3.62,-6.54,-4.15
Rh,-,mp-725,-,fcc,NaN,1.00,2.00,NaN,NaN,1.78,2.52,-0.98,4.30,-7.67,-5.28
Sc,-,mp-216,-,hcp,NaN,2.00,3.00,NaN,NaN,-5.71,6.05,-3.86,0.34,-0.18,2.21
Y,-,mp-2652,-,hcp,NaN,2.00,3.00,NaN,NaN,-5.44,6.16,-3.91,0.72,-0.45,1.94
Re,mp-8,mp-190,-,hcp,NaN,1.00,3.00,NaN,NaN,0.49,3.62,-2.13,4.11,-6.38,-3.99
Tc,mp-113,mp-33137,-,hcp,NaN,4.00,8.00,NaN,NaN,-0.31,4.12,-1.69,3.81,-5.58,-3.19
Bi,mp-23152,mp-23262,-,trigonal,NaN,8.00,12.00,NaN,NaN,-0.45,2.79,-1.66,2.34,-5.44,-3.05
Ru,mp-33,mp-825,-,hcp,NaN,2.00,4.00,NaN,NaN,1.71,3.47,-1.21,5.18,-7.60,-5.21
Cu,mp-30,mp-704645,-,fcc,NaN,2.00,2.00,NaN,NaN,0.74,1.84,-0.79,2.58,-6.63,-4.24
Mn,mp-35,mp-18759,-,bcc,NaN,6.00,8.00,NaN,NaN,-0.39,2.55,-2.05,2.16,-5.50,-3.11
Ti,mp-46,mp-390,-,hcp,0.00,2.00,4.00,NaN,NaN,-6.01,3.68,-3.32,-2.33,0.12,2.51
Os,mp-49,mp-540783,-,hcp,NaN,2.00,8.00,NaN,NaN,2.90,2.26,-1.53,5.16,-8.79,-6.40
Zn,mp-79,mp-2133,-,hcp,NaN,2.00,2.00,NaN,NaN,-1.19,3.45,-1.65,2.26,-4.70,-2.31